Nom du modèle,Temps d'entraînement,AUC-score_test,AUC-score_val,F1-score_test,F1-score_val,Précision-score_test,Précision-score_val,Rappel-score_test,Rappel-score_val,F-bêta-score_test,F-bêta-score_val,accuracy-score_test,accuracy-score_val
Régression Logistique Count Lemmatized,6.73608660697937,0.762875,0.7628125000000001,0.762875,0.7628125,0.762875,0.7628125,0.762875,0.7628125,0.762875,0.7628125,0.762875,0.7628125
Régression Logistique Count Stemmed,5.00508451461792,0.7615,0.75859375,0.7615,0.7585937499999998,0.7615,0.75859375,0.7615,0.75859375,0.7615,0.75859375,0.7615,0.75859375
Régression Logistique TF-IDF Lemmatized,4.726022243499756,0.7696249999999999,0.765625,0.7696249999999999,0.765625,0.769625,0.765625,0.769625,0.765625,0.769625,0.765625,0.769625,0.765625
Régression Logistique TF-IDF Stemmed,4.360262155532837,0.768375,0.7640625,0.768375,0.7640625000000001,0.768375,0.7640625,0.768375,0.7640625,0.768375,0.7640625,0.768375,0.7640625
